ProductID,Name,ModelNumber,Description,Brand,Price,StoreID
11,Ladela Bellies,4782,Key Features of Ladela Bellies Brand: LADELA Color : BlackLadela Bellies Price: Rs. 950 Experience the best bellies from the house of Ladela. Providing the best material to keep your feet cozy and active for the whole day.Specifications of Ladela Bellies General Occasion Casual Ideal For Women Shoe Details Heel Height 0 inch Outer Material PU Color Black,Office Max,73,105
12,Carrel Printed Womens,8530,Key Features of Carrel Printed Womens Fabric: SwimLycra Brand Color: Black WhiteCarrel Printed Womens Price: Rs. 910 Max-coverage swimwear collection from CARREL BRAND Brighten up your swim routine with this best fitting. This swimming costume from the house of Carrel is made of imported swim lycra fabric and comes in Black & White Colour. It has to be washed separately and dry in shade. Attractive & classy caressing the water. This swimwear provides excellent protection and Chlorine resistance. fast drying combined with flatlock stitching gives an unmatched comfort and helps you to that performance you have been striving for. This swimwear with its comfort and style is your perfect companion at any pool beach or water activity. Time for you to do your own thing and Go With The Flow. This Swimwear Lightly padded for modesty and support. This Product Support To This Size : L XL XXL 3XL4XL.Specifications of Carrel Printed Womens Top Details Neck Round Neck Swimsuit Details Fabric SwimLycra Type Swim-dress General Details Pattern Printed Ideal For Womens Occasion Sports Fabric Care Wash with Similar Colors Use Detergent for Colors In the Box 1 Swimware,Nordstrom,61,106
13,Sicons All Purpose Tea Tree Dog Shampoo,2638,Specifications of Sicons All Purpose Tea Tree Dog Shampoo (200 ml) General Pet Type Dog Brand Sicons Quantity 200 ml Model Number SH.DF-07 Type All Purpose Fragrance Tea Tree Form Factor Spray In the Box Sales Package Shampoo Sicons Dog Fashion Dry Bath Urban Pet,Auchan,40,102
14,Alisha Solid Womens Cycling Shorts,5856,Key Features of Alisha Solid Womens Cycling Shorts Cotton Lycra Black White BlackSpecifications of Alisha Solid Womens Cycling Shorts Shorts Details Number of Contents in Sales Package Pack of 3 Fabric Cotton Lycra Type Cycling Shorts General Details Pattern Solid Ideal For Womens Fabric Care Gentle Machine Wash in Lukewarm Water Do Not Bleach Additional Details Style Code ALTHT_3P_17 In the Box 3 shorts,Newegg.com,3,108
15,Freelance Vacuum Bottles 350 ml Bottle,9205,Specifications of Freelance Vacuum Bottles 350 ml Bottle (Pack of 1 Green) General Body Material Stainless steel Type Bottle In the Box Number of Contents in Sales Package Pack of 1 Sales Package 1 pcs in one packet,JD.com,34,109
16,Alisha Solid Womens Cycling Shorts,4110,Key Features of Alisha Solid Womens Cycling Shorts Cotton Lycra Black White WhiteSpecifications of Alisha Solid Womens Cycling Shorts Shorts Details Number of Contents in Sales Package Pack of 3 Fabric Cotton Lycra Type Cycling Shorts General Details Pattern Solid Ideal For Womens Fabric Care Gentle Machine Wash in Lukewarm Water Do Not Bleach Additional Details Style Code ALTHT_3P_2 In the Box 3 shorts,Verizon Wireless,135,102
17,FabHomeDecor Fabric Double Sofa Bed,9181,FabHomeDecor Fabric Double Sofa Bed (Finish Color - Purple Mechanism Type - Pull Out) Price: Rs. 22646  Fine deep seating experience  Save Space with the all new click clack Sofa Bed  Easy to fold and vice versa with simple click clack mechanism  Chrome legs with mango wood frame for long term durability  Double cushioned Sofa Bed to provide you with extra softness to make a fine seating experience  A double bed that can easily sleep twoSpecifications of FabHomeDecor Fabric Double Sofa Bed (Finish Color - Purple Mechanism Type - Pull Out) Installation & Demo Installation & Demo Details Installation and demo for this product is done free of cost as part of this purchase. Our service partner will visit your location within 72 business hours from the delivery of the product. In The Box 1 Sofa Bed General Brand FabHomeDecor Mattress Included No Delivery Condition Knock Down Storage Included No Mechanism Type Pull Out Type Sofa Bed Style Contemporary & Modern Filling Material Microfiber Seating Capacity 3 Seater Upholstery Type NA Upholstery Included No Bed Size Double Shape Square Suitable For Living Room Model Number FHD132 Care Instructions Avoid outdoor use and exposure to water or prolonged moisture Avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade Keep sharp objects away from your sofa A little tear on the fabric cover may be hard to repair Vacuum your sofas periodically with a soft bristled bru...View More Avoid outdoor use and exposure to water or prolonged moisture Avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade Keep sharp objects away from your sofa A little tear on the fabric cover may be hard to repair Vacuum your sofas periodically with a soft bristled brush attachment or lightly brush them to keep general dirt and dust off the sofa and prevent any embedding between the fibres Try to avoid food and drink spillage of any kind If spills occur do not leave unattended In case of a stain a water-free fabric cleaner can be used However avoid applying the cleaner directly on the stain as this can cause damage to the fabric and fade colour Pour the cleaner onto a clean cloth and test its effect on a hidden area of the sofa before cleaning the stain with the cloth A professional scotchguard treatment is one of the easiest and most effective options to protect against spills or stains and keep pet hair at bay Getting your sofa professionally cleaned once every 6-8 months will not only take care of the nooks and corners that you cant reach it will also make it more durable Finish Type Matte Important Note Cancellation NOT allowed for this product after 24 hrs of order booking. Warranty Covered in Warranty Warranty covers all kind of manufacturing defects. Concerned product will either be repaired or replaced based on discretion. Service Type Manufacturer Warranty Warranty Summary 6 Months Domestic Warranty Not Covered in Warranty Warranty does not cover for Improper Handling Dimensions Weight 40 kg Height 838 mm Width 1905 mm Depth 939 mm Disclaimer - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting pixel quality and color settings - Please check the products dimensions to ensure the product will fit in the desired location. Also check if the product will fit through...View More - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting pixel quality and color settings - Please check the products dimensions to ensure the product will fit in the desired location. Also check if the product will fit through the entrance(s) and door(s) of the premises - Please expect an unevenness of up to 5 mm in the product due to differences in surfaces and floor levels - Flipkart or the Seller delivering the product will not take up any type of civil work such as drilling holes in the wall to mount the product. The product will only be assembled in case carpentry assembly is required - In case the product appears to lack shine wiping the surface with a cloth will help clear the surface of dust particles Material & Color Upholstery Color Purple Primary Color Purple Primary Material Fabric Secondary Material Subtype Mango Wood Secondary Material Foam Finish Color Purple Primary Material Subtype Foam,Staples,61,102
18,Style Foot Bellies,1565,Key Features of Style Foot Bellies ballerina shoes ballerina flatsStyle Foot Bellies Price: Rs. 449 ballet shoes that fits perfectly for casual and party wearSpecifications of Style Foot Bellies General Occasion Casual Ideal For Women Shoe Details Heel Height 1 inch Outer Material PU Color Black In the Box 1 slipper,Cars.com,111,102
19,Carrel Printed Womens,7623,Key Features of Carrel Printed Womens Fabric: SwimLycra Brand Color: DARK BLUE WHITECarrel Printed Womens Price: Rs. 999 Max-coverage swimwear collection from CARREL BRAND Brighten up your swim routine with this best fitting. This swimming costume from the house of Carrel is made of imported swim lycra fabric and comes in Darkblue & White Colour. It has to be washed separately and dry in shade. Attractive & classy caressing the water. This swimwear provides excellent protection and Chlorine resistance. fast drying combined with flatlock stitching gives an unmatched comfort and helps you to that performance you have been striving for. This swimwear with its comfort and style is your perfect companion at any pool beach or water activity. Time for you to do your own thing and Go With The Flow. This Swimwear Lightly padded for modesty and support. This Product Support To This Size : L XL XXL 3XL4XL.Specifications of Carrel Printed Womens Top Details Neck Round Neck Swimsuit Details Fabric SwimLycra Type Swim-dress General Details Pattern Printed Ideal For Womens Occasion Sports Fabric Care Wash with Similar Colors Use Detergent for Colors In the Box 1 Swimware,Kohl’s,27,103
20,FabHomeDecor Fabric Double Sofa Bed,7014,FabHomeDecor Fabric Double Sofa Bed (Finish Color - Dark Brown Mechanism Type - Pull Out) Price: Rs. 22646  Fine deep seating experience  Save Space with the all new click clack Sofa Bed  Easy to fold and vice versa with simple click clack mechanism  Chrome legs with mango wood frame for long term durability  Double cushioned Sofa Bed to provide you with extra softness to make a fine seating experience  A double bed that can easily sleep twoSpecifications of FabHomeDecor Fabric Double Sofa Bed (Finish Color - Dark Brown Mechanism Type - Pull Out) In The Box 1 Sofa Bed Installation & Demo Installation & Demo Details Installation and demo for this product is done free of cost as part of this purchase. Our service partner will visit your location within 72 business hours from the delivery of the product. Important Note Cancellation NOT allowed for this product after 24 hrs of order booking. General Brand FabHomeDecor Mattress Included No Delivery Condition Knock Down Storage Included No Mechanism Type Pull Out Type Sofa Bed Style Contemporary & Modern Filling Material Microfiber Seating Capacity 3 Seater Upholstery Type NA Upholstery Included No Bed Size Double Shape Square Suitable For Living Room Model Number FHD115 Finish Type Matte Care Instructions Avoid outdoor use and exposure to water or prolonged moisture Avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade Keep sharp objects away from your sofa A little tear on the fabric cover may be hard to repair Vacuum your sofas periodically with a soft bristled bru...View More Avoid outdoor use and exposure to water or prolonged moisture Avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade Keep sharp objects away from your sofa A little tear on the fabric cover may be hard to repair Vacuum your sofas periodically with a soft bristled brush attachment or lightly brush them to keep general dirt and dust off the sofa and prevent any embedding between the fibres Try to avoid food and drink spillage of any kind If spills occur do not leave unattended In case of a stain a water-free fabric cleaner can be used However avoid applying the cleaner directly on the stain as this can cause damage to the fabric and fade colour Pour the cleaner onto a clean cloth and test its effect on a hidden area of the sofa before cleaning the stain with the cloth A professional scotchguard treatment is one of the easiest and most effective options to protect against spills or stains and keep pet hair at bay Getting your sofa professionally cleaned once every 6-8 months will not only take care of the nooks and corners that you cant reach it will also make it more durable Dimensions Weight 40 kg Height 838.2 mm Width 1905 mm Depth 939.8 mm Warranty Covered in Warranty Warranty covers all kind of manufacturing defects. Concerned product will either be repaired or replaced based on discretion. Warranty Summary 6 Months Domestic Warranty Service Type Manufacturer Warranty Not Covered in Warranty Warranty does not cover for Improper Handling Disclaimer - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting pixel quality and color settings - Please check the products dimensions to ensure the product will fit in the desired location. Also check if the product will fit through...View More - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting pixel quality and color settings - Please check the products dimensions to ensure the product will fit in the desired location. Also check if the product will fit through the entrance(s) and door(s) of the premises - Please expect an unevenness of up to 5 mm in the product due to differences in surfaces and floor levels - Flipkart or the Seller delivering the product will not take up any type of civil work such as drilling holes in the wall to mount the product. The product will only be assembled in case carpentry assembly is required - In case the product appears to lack shine wiping the surface with a cloth will help clear the surface of dust particles Material & Color Primary Material Fabric Primary Color Brown Upholstery Color Dark Brown Secondary Material Foam Secondary Material Subtype Mango Wood Finish Color Dark Brown Primary Material Subtype Foam,Hobby Lobby,66,104
21,Sicons Conditioning Conditoner Dog Shampoo,7139,Specifications of Sicons Conditioning Conditoner Dog Shampoo (200 ml) General Pet Type Dog Brand Sicons Quantity 200 ml Model Number SH.DF-02 Type Conditioning Fragrance Conditoner Form Factor Gel In the Box Sales Package Shampoo Sicons Dog Fashion Conditioner Aloe Rinse,Ahold Delhaize,39,102
22,Alisha Solid Womens Cycling Shorts,3682,Alisha Solid Womens Cycling Shorts - Buy Black White Navy Alisha Solid Womens Cycling Shorts For Only Rs. 999 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,Walmart,118,102
23,dongli Printed Boys Round Neck T-Shirt,9023,Specifications of dongli Printed Boys Round Neck T-Shirt (Pack of 4) T-shirt Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 4 Fabric Cotton Type Round Neck Fit Regular General Details Pattern Printed Occasion Casual Ideal For Boys In the Box 4 T Shirt Additional Details Style Code DLHBB445_BEIGE_BLACK_GYELLOW_PURPLE Fabric Care Wash with Similar Colors Use Detergent for Colors,Ikea,29,107
24,SWAGGA Women Clogs,1712,Key Features of SWAGGA Women Clogs Occasion: Ethnic Material: Leather Color: Brown White Heel Height: 0Specifications of SWAGGA Women Clogs General Occasion Ethnic Ideal For Women Sandal Details Type Clogs Heel Height 0 inch Outer Material Leather Color Brown White13,Ulta Salon. Cosmetics & Fragrance,135,102
25,Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,7448,Buy Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog for Rs.190 online. Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Overstock.com,7,109
26,Glus Wedding Lingerie Set,9228,Glus Wedding Lingerie Set - Buy Turquoise Glus Wedding Lingerie Set For Only Rs. 1299 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,Gap,34,102
27,Veelys Shiny White Quad Roller Skates - Size 4.5 UK,4268,Veelys Shiny White Quad Roller Skates - Size 4.5 UK only for Rs 2499 . Ideal For Boys . Buy online @ Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,CVS,147,101
28,Bulaky vanity case Jewellery Vanity Case,7626,Buy Bulaky vanity case Jewellery Vanity Case for Rs.390 online. Bulaky vanity case Jewellery Vanity Case at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Target,107,102
29,FDT Womens Leggings,6788,FDT Womens Leggings - Buy Parrot Green FDT Womens Leggings For Only Rs. 699 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,Shop.com,120,103
30,Madcaps C38GR30 Mens Cargos,9978,Madcaps C38GR30 Mens Cargos - Buy Green Madcaps C38GR30 Mens Cargos For Only Rs. 2199 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,Seven & I,17,104
31,Bengal Blooms Rose Artificial Plant  with Pot,7286,Key Features of Bengal Blooms Rose Artificial Plant  with Pot Assorted Height: 30 cmBengal Blooms Rose Artificial Plant  with Pot (30 cm Multicolor) Price: Rs. 579 The Bengal Blooms Decor your home with artificial flowers attached to a wonderful pot.Specifications of Bengal Blooms Rose Artificial Plant  with Pot (30 cm Multicolor) General Brand Bengal Blooms Model Number BBAJC218 Type Assorted Bonsai No Model Name Rose Color Multicolor Pot Features Pot Included Yes Dimensions Total Height 30 cm In the Box Sales Package 1 Assorted Artificial plant with Pot,The Home Depot,139,105
32,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,3117,Key Features of Indcrown Net Embroidered Semi-stitched Lehenga Choli Material Ghagra Choli  Ghagra Choli Dupatta Set  Lehenga Choli  Lehenga Choli and Dupatta Set .Indcrown Net Embroidered Semi-stitched Lehenga Choli Material (Semi-stitched) Price: Rs. 699 We have not authorised any other seller to sell our brand Indcrown . Any seller doing so is selling fake Indcrown Products. Buy original Indcrown products from the seller  indcrown‘’ onlySpecifications of Indcrown Net Embroidered Semi-stitched Lehenga Choli Material (Semi-stitched) Fabric Details Fabric Net Type Semi-stitched Lehenga Choli Material General Details Pattern Embroidered Ideal For Womens Color Multicolor Fabric Care Dry clean or else Normal Hand Wash Additional Details Other Details Lehnga Choli is an Indian traditional ware also known as Chaniya Choli. We at Bolly Lounge offers you to attract compliments by this attractive Lehnga Choli made with fine quality material and beautiful work which can be worn for functions festivals parties and even office also. This Lehnga Choli ...View More Lehnga Choli is an Indian traditional ware also known as Chaniya Choli. We at Bolly Lounge offers you to attract compliments by this attractive Lehnga Choli made with fine quality material and beautiful work which can be worn for functions festivals parties and even office also. This Lehnga Choli is comes with unstitched material so it can be stitched according to your taste and preference. Stunning Self Designed Partywear Salwar Suit Gives A Trendy Look. Suit Having Fine Embroidery Work Over All. A Fine Fabric Used To Make It It Will Be Comfortable In All Season. Style Code R C Lehe Bt In the Box 1 Lehenga Choli And Duppta Set,Sephora,20,106
33,Shopmania Music Band A5 Notebook Spiral Bound,4366,Specifications of Shopmania Music Band A5 Notebook Spiral Bound (Multicolor) General Ruling Ruled Model id NB00664 Type Notebook GSM 75 Cover Type 300 GSM Hard Laminated Cover No. of Pages 160 Brand Name Shopmania Binding Spiral Bound Color Multicolor Size A5 Dimensions Length 9 inch Width 6 inch Special Features Can be used as Notepad Diary Writing pad In the Box Sales Package 1 Notebook,Apple,65,107
34,Shopmania Music Band A5 Notebook Spiral Bound,6975,Specifications of Shopmania Music Band A5 Notebook Spiral Bound (Multicolor) General Ruling Ruled Model id NB00678 Type Notebook GSM 75 Cover Type 300 GSM Hard Laminated Cover No. of Pages 160 Brand Name Shopmania Binding Spiral Bound Color Multicolor Size A5 Dimensions Length 9 inch Width 6 inch Special Features Can be used as Notepad Diary Writing pad In the Box Sales Package 1 Notebook,H&M,133,102
35,"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",9269,Specifications of Tiara Diaries 2016-2017 Designer LA Kaarta TAKING ACTION GETTING RESULT (Set of 3) B5 Notebook Hard Bound (Coffee Pack of 3) General Ruling ruled Model id 244 Type Notebook No. of Pages 216 Brand Name Tiara Diaries Binding Hard Bound Size B5 Color Coffee,Flipkart,92,102
36,KAJCI Embroidered Womens Waistcoat,6845,Specifications of KAJCI Embroidered Womens Waistcoat General Details Pattern Embroidered Ideal For Womens Waistcoat Details Fabric Art Silk In the Box Waistcoat Additional Details Style Code LKOD112 Fabric Care Dry Clean Only,Pier 1 Imports,108,100
37,Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,9822,Key Features of Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag Supplying to Over 200 Companies around world International E-commerce Standard Direct From ISO 9002 Factory 60 Microns High Quality Bags Longer Lasting ProtectionPackman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag (21.59 x 27.95 Pack of 100) Price: Rs. 298 Courier BagSpecifications of Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag (21.59 x 27.95 Pack of 100) General Bubble Wrap Present No Brand Packman Model Number 8 x 10 inches Security Bags Without POD Jacket Courier Bag Water Resistant Yes Tamper Proof Yes Material Plastic POD Jacket Available No Color Grey Size 21.59 x 27.95 Dimensions Weight 600 g Other Dimensions 8 x 10 Thickness 60 micron Additional Features Other Features security bag In the Box Sales Package 1 pack contains 100 pcs Pack of 100,Lowe’s,95,101
